frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,2,8,0.183666,0.141687,0.309338,"[3, 4]"
1,True,2,8,0.152081,0.133057,0.263666,"[3, 4]"
2,True,2,8,0.548654,0.555153,0.895159,"[1, 4]"
3,True,2,8,0.551497,0.552129,0.912643,"[1, 4]"
4,True,2,8,0.409620,0.458125,0.634963,"[3, 2]"
5,True,2,8,0.374314,0.379185,0.557846,"[3, 2]"
6,True,2,8,0.386683,0.330340,0.775220,"[2, 1]"
7,True,2,8,0.384706,0.365651,0.778297,"[2, 1]"
8,True,3,12,0.383632,0.288630,0.596442,"[1, 4, 0]"
9,True,3,12,0.385372,0.313446,0.593292,"[1, 4, 0]"
10,True,3,12,0.424370,0.386637,0.726902,"[4, 3, 0]"
11,True,2,8,0.268844,0.262951,0.386183,"[4, 3]"
12,True,2,8,0.349004,0.329467,0.581402,"[4, 0]"
13,True,3,12,0.558330,0.530335,0.879004,"[4, 1, 0]"
14,True,3,12,0.552526,0.537149,0.887618,"[4, 1, 0]"
15,True,3,12,0.546220,0.506933,0.642383,"[3, 4, 0]"
16,True,2,8,0.414291,0.419463,0.483855,"[3, 4]"
17,True,2,8,0.178473,0.195571,0.228240,"[4, 1]"
18,True,1,4,0.030523,0.030522,0.030889,"[4]"
19,True,2,8,0.442807,0.350222,0.873471,"[4, 1]"
20,True,2,8,0.451904,0.312989,0.902814,"[4, 1]"
21,True,3,12,0.518172,0.450563,0.721762,"[3, 4, 0]"
22,True,2,8,0.387469,0.330299,0.571121,"[3, 4]"
23,True,2,8,0.301125,0.258406,0.564025,"[2, 1]"
24,True,2,8,0.323106,0.286653,0.689463,"[2, 1]"
