frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,3,12,0.586105,0.482394,0.918500,"[2, 0, 1]"
1,True,4,16,1.932224,1.265797,3.666362,"[5, 2, 0, 1]"
2,True,3,12,1.059349,1.084176,1.516991,"[5, 0, 1]"
3,True,2,8,0.428704,0.409369,0.720007,"[0, 1]"
4,True,2,8,0.327667,0.308489,0.576143,"[0, 1]"
5,True,4,16,1.015403,0.956006,1.503526,"[3, 2, 1, 0]"
6,True,4,16,1.073939,1.048202,1.694809,"[2, 3, 1, 0]"
7,True,4,16,1.026103,0.978775,1.765714,"[5, 2, 0, 1]"
8,True,4,16,1.074976,0.960511,1.690970,"[2, 5, 0, 1]"
9,True,3,12,1.246511,0.962056,1.981927,"[3, 0, 1]"
10,True,3,12,1.550796,1.491120,2.169509,"[3, 1, 0]"
11,True,3,12,0.862448,0.812686,1.399428,"[2, 0, 1]"
12,True,3,12,0.875071,0.995372,1.432385,"[5, 0, 1]"
13,True,3,12,0.689607,0.669103,1.023987,"[2, 0, 1]"
14,True,2,8,0.496808,0.479314,0.803770,"[1, 0]"
15,True,3,12,1.163685,1.102154,1.589289,"[5, 0, 1]"
16,True,3,12,1.409085,1.377980,2.285001,"[4, 1, 0]"
17,True,3,12,0.920365,0.934776,1.243885,"[4, 0, 1]"
18,True,3,12,0.857165,0.750901,1.258930,"[3, 1, 0]"
