object_name,axis,method,gt_mm,est_mm
peg,L,baseline_sam3d,45.0,44.48829305620022
peg,W,baseline_sam3d,30.0,28.810877577087474
peg,H,baseline_sam3d,30.0,28.640908264934083
peg,L,oracle_cad,45.0,44.308226560221236
peg,W,oracle_cad,30.0,29.005742907309074
peg,H,oracle_cad,30.0,28.111512450233775
hole,L,baseline_sam3d,50.0,51.03049042796988
hole,W,baseline_sam3d,50.0,49.11978842493137
hole,H,baseline_sam3d,50.0,49.067637238980474
hole,L,oracle_cad,50.0,50.863775193837455
hole,W,oracle_cad,50.0,50.75856459216047
hole,H,oracle_cad,50.0,49.00534863417387
T_shape,L,baseline_sam3d,150.0,150.6115997151543
T_shape,W,baseline_sam3d,100.0,99.77380689541474
T_shape,H,baseline_sam3d,50.0,50.142887554614155
T_shape,L,oracle_cad,150.0,149.45699135923962
T_shape,W,oracle_cad,100.0,99.63799423949308
T_shape,H,oracle_cad,50.0,49.81899711974655
kettle,L,baseline_sam3d,116.0,117.30750831475608
kettle,W,baseline_sam3d,68.0,69.0904286220488
kettle,H,baseline_sam3d,65.0,67.02256333301595
